date,state,place_type,confirmed,deaths,is_last,city_ibge_code,confirmed_per_100k_inhabitants
2020-04-27,AC,c,13,0,True,1200013,
2020-04-27,AC,c,1,0,True,1200138,
2020-04-27,AC,c,5,0,True,1200203,
2020-04-27,AC,c,22,1,True,1200385,
2020-04-27,AC,c,2,0,True,1200807,
2020-04-27,AC,c,256,13,True,1200401,
2020-04-27,AC,c,2,0,True,1200450,
2020-04-27,AC,s,301,14,True,12,34.1295
2020-04-27,AL,c,1,1,True,2700201,
2020-04-27,AL,c,11,0,True,2700300,
2020-04-27,AL,c,1,0,True,2700409,
2020-04-27,AL,c,1,0,True,2700508,
2020-04-27,AL,c,1,0,True,2701001,
2020-04-27,AL,c,1,0,True,2701704,
2020-04-27,AL,c,1,0,True,2702405,
2020-04-27,AL,c,1,1,True,2703007,
2020-04-27,AL,c,11,2,True,,
2020-04-27,AL,c,1,1,True,2704203,
2020-04-27,AL,c,535,22,True,2704302,
2020-04-27,AL,c,3,0,True,2704500,
2020-04-27,AL,c,14,2,True,2704708,
2020-04-27,AL,c,2,1,True,2704807,
2020-04-27,AL,c,1,1,True,2705101,
2020-04-27,AL,c,14,0,True,2705507,
2020-04-27,AL,c,1,0,True,2705705,
2020-04-27,AL,c,6,0,True,2706307,
2020-04-27,AL,c,1,1,True,2706448,
2020-04-27,AL,c,2,0,True,2706802,
2020-04-27,AL,c,4,0,True,2706901,
2020-04-27,AL,c,2,0,True,2707305,
2020-04-27,AL,c,1,0,True,2707503,
2020-04-27,AL,c,12,0,True,2707701,
2020-04-27,AL,c,3,0,True,2707909,
2020-04-27,AL,c,1,0,True,2708600,
2020-04-27,AL,c,1,1,True,2708709,
2020-04-27,AL,c,1,0,True,2708808,
2020-04-27,AL,c,6,0,True,2708907,
2020-04-27,AL,c,2,0,True,2709301,
2020-04-27,AL,c,1,1,True,2709400,
2020-04-27,AL,s,643,34,True,27,19.26674
2020-04-27,AP,c,2,0,True,1600105,
2020-04-27,AP,c,1,0,True,1600253,
2020-04-27,AP,c,22,2,True,1600279,
2020-04-27,AP,c,656,19,True,1600303,
2020-04-27,AP,c,12,0,True,1600402,
2020-04-27,AP,c,12,1,True,1600501,
2020-04-27,AP,c,1,0,True,1600154,
2020-04-27,AP,c,7,0,True,1600535,
2020-04-27,AP,c,117,4,True,1600600,
2020-04-27,AP,c,2,0,True,1600055,
2020-04-27,AP,c,7,0,True,1600709,
2020-04-27,AP,c,3,0,True,1600808,
2020-04-27,AP,s,842,26,True,16,99.55884
2020-04-27,BA,c,1,0,True,2900108,
2020-04-27,BA,c,1,0,True,2900306,
2020-04-27,BA,c,1,1,True,2900355,
2020-04-27,BA,c,1,1,True,2900405,
2020-04-27,BA,c,1,0,True,2900603,
2020-04-27,BA,c,7,0,True,2900702,
2020-04-27,BA,c,1,0,True,2900900,
2020-04-27,BA,c,5,0,True,2901106,
2020-04-27,BA,c,1,1,True,2902104,
2020-04-27,BA,c,1,0,True,2902401,
2020-04-27,BA,c,2,0,True,2902708,
2020-04-27,BA,c,1,0,True,2902906,
2020-04-27,BA,c,3,0,True,2903102,
2020-04-27,BA,c,1,0,True,2903201,
2020-04-27,BA,c,3,0,True,2903300,
2020-04-27,BA,c,2,1,True,2903409,
2020-04-27,BA,c,0,0,True,2903904,
2020-04-27,BA,c,8,0,True,2904605,
2020-04-27,BA,c,9,0,True,2904704,
2020-04-27,BA,c,1,0,True,2904902,
2020-04-27,BA,c,1,0,True,2905156,
2020-04-27,BA,c,1,0,True,2905503,
2020-04-27,BA,c,2,0,True,2905602,
2020-04-27,BA,c,40,1,True,2905701,
2020-04-27,BA,c,1,0,True,2905800,
2020-04-27,BA,c,2,0,True,2905909,
2020-04-27,BA,c,1,0,True,2906006,
2020-04-27,BA,c,2,0,True,2906204,
2020-04-27,BA,c,10,0,True,2906303,
2020-04-27,BA,c,5,0,True,2906501,
2020-04-27,BA,c,1,0,True,2906808,
2020-04-27,BA,c,2,1,True,2906873,
2020-04-27,BA,c,1,0,True,2907301,
2020-04-27,BA,c,5,1,True,2907509,
2020-04-27,BA,c,13,0,True,2908002,
2020-04-27,BA,c,2,0,True,2908408,
2020-04-27,BA,c,1,0,True,2908507,
2020-04-27,BA,c,1,0,True,2908606,
2020-04-27,BA,c,1,0,True,2908903,
2020-04-27,BA,c,2,0,True,2909505,
2020-04-27,BA,c,2,0,True,2909802,
2020-04-27,BA,c,8,0,True,2909901,
2020-04-27,BA,c,6,0,True,2910057,
2020-04-27,BA,c,1,0,True,2910701,
2020-04-27,BA,c,16,0,True,2910727,
2020-04-27,BA,c,67,1,True,2910800,
2020-04-27,BA,c,2,0,True,2911006,
2020-04-27,BA,c,2,0,True,2911204,
2020-04-27,BA,c,4,2,True,2911501,
2020-04-27,BA,c,0,0,True,2911709,
2020-04-27,BA,c,2,0,True,2912103,
2020-04-27,BA,c,6,0,True,2912905,
2020-04-27,BA,c,1,0,True,2913200,
2020-04-27,BA,c,178,4,True,2913606,
2020-04-27,BA,c,16,1,True,,
2020-04-27,BA,c,16,1,True,2913903,
2020-04-27,BA,c,4,0,True,2914000,
2020-04-27,BA,c,1,0,True,2914604,
2020-04-27,BA,c,1,0,True,2914653,
2020-04-27,BA,c,1,0,True,2914703,
2020-04-27,BA,c,148,3,True,2914802,
2020-04-27,BA,c,1,0,True,2914901,
2020-04-27,BA,c,1,0,True,2915106,
2020-04-27,BA,c,6,1,True,2915205,
2020-04-27,BA,c,8,0,True,2915502,
2020-04-27,BA,c,1,0,True,2915601,
2020-04-27,BA,c,0,0,True,2915700,
2020-04-27,BA,c,1,0,True,2916104,
2020-04-27,BA,c,1,1,True,2916203,
2020-04-27,BA,c,5,0,True,2916302,
2020-04-27,BA,c,7,2,True,2916401,
