date,state,confirmed,deaths
2020-04-27,AC,301,14
2020-04-27,AL,643,34
2020-04-27,AP,842,26
2020-04-27,BA,2356,83
2020-04-27,CE,6783,397
2020-04-27,DF,1189,28
2020-04-27,ES,1944,63
2020-04-27,GO,616,26
2020-04-27,MA,2528,145
2020-04-27,MG,1586,62
2020-04-27,MS,238,9
2020-04-27,MT,256,10
2020-04-27,PA,2219,122
2020-04-27,PB,633,53
2020-04-27,PI,408,21
2020-04-27,PR,1201,77
2020-04-27,RJ,7944,677
2020-04-27,RO,393,10
2020-04-27,RR,425,4
2020-04-27,RS,1256,45
2020-04-27,SC,1476,44
2020-04-27,SE,211,11
2020-04-27,SP,21696,1825
2020-04-27,TO,79,2
2020-04-26,AM,3833,304
2020-04-26,PE,4898,415
2020-04-25,RN,825,44
